Sl. No.,Food Commodities,Units,State/UT,2018,2019,2020,2021,2022,2023
1,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Andaman and Nicobar,34.15,38.82,43.11,42.75,44.6,41.22
2,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Andhra Pradesh,31.63,35.11,41.72,46.13,48.65,51.52
3,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Arunachal Pradesh,29.59,31.95,32.51,25.79,28.57,33
4,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Assam,30,30,31.51,35.39,33.22,38.03
5,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Bihar,31.13,30.83,30.12,33.11,36.09,36.37
6,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Chandigarh,28,27.98,31.09,36.03,38.01,38.58
7,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Chhattisgarh,25.58,26.22,26.55,31.56,33.33,35.41
8,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Delhi,34.46,34.65,34.61,30.93,32.15,37.96
9,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Goa,41.74,42,43.62,40.67,40.96,42.98
10,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Gujarat,23.35,23,26.93,33.62,34.43,36.13
11,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Haryana,30.51,30.09,31.58,32.1,33.46,37.87
12,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Himachal Pradesh,31.28,31.74,32.53,33.07,32.78,34.26
13,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Jammu and Kashmir,30.92,34.5,41.57,35.3,36.53,38.22
14,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Jharkhand,34.83,34.8,34.8,30.67,33.71,36.17
15,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Karnataka,44.73,44.68,44.94,46.17,45.98,50.55
16,Annual Average Retail Prices of Rice,Unit - (Rs./Kg.),Kerala,37.94,37.7,39.54,39.19,47.71,51
